Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
1.1,23.11,0.764,19.38,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.58,0.18,1,0,0.000465,0.00065,-3.8,-5.4,-4.38,-5.22,10.1021/acsami.9b13278
1.14,22.1,0.754,19,0,0.15,0.85,1,0,2.55,0.45,1.62,-0.6,0.34,1,0,0.000465,0.00119,-3.94,-5.56,-4.54,-5.22,10.1021/acsenergylett.7b00888
0.46,21.4,0.427,4.29,0,1,0,0,1,3,0,1.26,-1.02,-0.26,0,1,0.00033,8.00E-05,-3.48,-4.74,-4.5,-5,10.1002/advs.201700204
0.48,20.7,0.452,4.49,0,0.75,0.25,0,1,3,0,1.28,-0.97,-0.19,0,1,0.00033,8.00E-05,-3.53,-4.81,-4.5,-5,10.1002/advs.201700204
0.53,21.3,0.524,5.92,0,0.5,0.5,0,1,3,0,1.3,-0.95,-0.15,0,1,0.00033,8.00E-05,-3.55,-4.85,-4.5,-5,10.1002/advs.201700204
0.61,21.2,0.627,8.12,0,0.25,0.75,0,1,3,0,1.33,-0.95,-0.12,0,1,0.00033,8.00E-05,-3.55,-4.88,-4.5,-5,10.1002/advs.201700204
0.48,21.3,0.646,6.6,0,0,1,0,1,3,0,1.36,-0.98,-0.12,0,1,0.00033,8.00E-05,-3.52,-4.88,-4.5,-5,10.1002/advs.201700204
1.09,21.65,0.774,18.32,0.05,0.16,0.78,1,0,2.5,0.5,1.6,-0.4,0.38,1,0,0.000465,0.000992,-4,-5.6,-4.4,-5.22,10.1039/c8ta11945g
1.14,22.84,0.7579,19.81,0,0.15,0.85,1,0,2.55,0.45,1.55,-0.07,0.26,1,0,0.000465,2.93E-05,-3.93,-5.48,-4,-5.22,10.1002/adma.201804028
1.12,25.75,0.677,19.5,0,0.15,0.85,1,0,2.55,0.45,1.55,-0.07,0.52,1,0,0.0001,2.93E-05,-3.93,-5.48,-4,-4.96,10.1002/adma.201804028
0.99,20.96,0.74,15.34,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,0.000992,-3.9,-5.4,-4.2,-5.2,10.1016/j.orgel.2018.10.028
1.105,23.5,0.748,19.4,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.26,1,0,0.000341,2.93E-05,-3.92,-5.48,-4,-5.22,10.1002/aenm.201602556
1.08,23.1,0.734,18.3,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.42,1,0,0.00019,2.93E-05,-3.92,-5.48,-4,-5.06,10.1002/aenm.201602556
0.95,22.96,0.73,15.95,0,1,0,1,0,3,0,1.5,-0.5,0.18,1,0,0.000465,0.004059,-3.9,-5.4,-4.4,-5.22,10.1016/j.cej.2020.126303
1.1,22.3,0.725,17.7,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.49,1,0,0.000465,2.93E-05,-3.92,-5.65,-4,-5.16,10.1039/c7ta11314e
1.0466,22.928,0.7865,18.87,0,1,0,1,0,3,0,1.5,-0.07,0.17,1,0,0.00018,2.93E-05,-3.93,-5.43,-4,-5.26,10.1039/c7ta04762b
1.0461,20.574,0.7525,16.2,0,1,0,1,0,3,0,1.5,-0.07,0.17,1,0,5.27E-05,2.93E-05,-3.93,-5.43,-4,-5.26,10.1039/c7ta04762b
1.0348,21.19,0.7522,16.5,0,1,0,1,0,3,0,1.5,-0.07,0.19,1,0,8.74E-05,2.93E-05,-3.93,-5.43,-4,-5.24,10.1039/c7ta04762b
1.0567,22.321,0.7632,18,0,1,0,1,0,3,0,1.5,-0.07,0.18,1,0,0.000105,2.93E-05,-3.93,-5.43,-4,-5.25,10.1039/c7ta04762b
1.0507,22.009,0.7658,17.71,0,1,0,1,0,3,0,1.5,-0.07,0.18,1,0,8.32E-05,2.93E-05,-3.93,-5.43,-4,-5.25,10.1039/c7ta04762b
1.108,23.03,0.718,18.32,0,0.17,0.83,1,0,2.49,0.51,1.7,-0.3,0.52,1,0,0.000465,0.000992,-3.9,-5.6,-4.2,-5.08,10.1016/j.jpowsour.2019.226817
1.119,22.98,0.722,18.57,0,0.17,0.83,1,0,2.49,0.51,1.7,-0.3,0.58,1,0,0.000713,0.000992,-3.9,-5.6,-4.2,-5.02,10.1016/j.jpowsour.2019.226817
1.537,7.27,0.7607,8.5,1,0,0,1,0,0,3,2.3,-0.9,0.47,1,0,0.000191,2.93E-05,-3.3,-5.6,-4.2,-5.13,10.1039/C9TA01151J
1.091,23.11,0.777,19.59,0,0.25,0.75,1,0,2.76,0.24,1.6,0.05,0.43,1,0,0.000465,2.93E-05,-4.05,-5.65,-4,-5.22,10.1039/c7cc08985f
0.965,22.68,0.785,17.19,0,0.25,0.75,1,0,2.76,0.24,1.6,0.05,0.72,1,0,0.000459,2.93E-05,-4.05,-5.65,-4,-4.93,10.1039/c7cc08985f
1.039,23.24,0.755,18.23,0,0.25,0.75,1,0,2.76,0.24,1.6,0.05,0.77,1,0,0.00142,2.93E-05,-4.05,-5.65,-4,-4.88,10.1039/c7cc08985f
0.9657,22.68,0.785,17.19,0,0.75,0.25,1,0,2.76,0.24,1.5,0.05,0.72,1,0,0.000459,2.93E-05,-4.05,-5.65,-4,-4.93,10.1039/c7cc08985f
1.0389,23.24,0.755,18.23,0,0.75,0.25,1,0,2.76,0.24,1.5,0.05,0.77,1,0,0.00142,2.93E-05,-4.05,-5.65,-4,-4.88,10.1039/c7cc08985f
1.091,23.11,0.777,16,0,0.75,0.25,1,0,2.76,0.24,1.5,0.05,0.43,1,0,0.000465,2.93E-05,-4.05,-5.65,-4,-5.22,10.1039/c7cc08985f
1.23,18.34,0.79,17.8,0.17,0,0.83,1,0,1.8,1.2,1.75,-0.58,0.55,1,0,0.000465,2.93E-05,-3.62,-5.77,-4.2,-5.22,10.1002/adma.201706275
1.097,23.21,0.746,18.99,0.1,0.15,0.75,1,0,2.64,0.36,1.59,-0.14,0.43,1,0,0.000465,0.000992,-4.06,-5.65,-4.2,-5.22,10.1021/acs.nanolett.8b00025
1.139,23.45,0.795,21.23,0,0.1,0.9,1,0,2.7,0.3,1.57,-0.5,0.25,1,0,0.000465,0.000992,-3.9,-5.47,-4.4,-5.22,10.1021/acs.nanolett.8b00025
1.122,24.47,0.82,22.51,0,0.05,0.95,1,0,2.85,0.15,1.5,-0.5,0.18,1,0,0.000465,0.000992,-3.9,-5.4,-4.4,-5.22,10.1021/acs.nanolett.8b00025
1.177,14.25,0.802,13.45,1,0,0,1,0,2,1,1.91,-0.32,0.46,1,0,0.0012,2.93E-05,-3.69,-5.6,-4.01,-5.14,10.1016/j.joule.2018.04.012
1.098,23.34,0.781,20.02,0.1,0.05,0.85,1,0,2.85,0.15,1.5,-0.3,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1002/advs.201903009
1.1,22.79,0.755,18.93,0.05,0,0.95,1,0,3,0,1.51,-0.1,0.24,1,0,0.000465,0.000992,-3.95,-5.46,-4.05,-5.22,10.1038/s41467-018-05760-x
1.11,24.57,0.792,21.6,0.05,0,0.95,1,0,3,0,1.51,-0.03,0.24,1,0,0.000465,0.00227,-3.95,-5.46,-3.98,-5.22,10.1038/s41467-018-05760-x
1.07,22.67,0.723,16.2,0.05,0,0.95,1,0,3,0,1.51,-0.21,0.24,1,0,0.000465,3.56E-05,-3.95,-5.46,-4.16,-5.22,10.1038/s41467-018-05760-x
1.1,22.16,0.77,18.77,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.05,0.41,1,0,0.000465,2.93E-05,-4.05,-5.63,-4.1,-5.22,10.1039/c7ta02556d
1.08,21.05,0.71,16.14,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.05,0.15,1,0,7.83E-05,2.93E-05,-4.05,-5.63,-4.1,-5.48,10.1039/c7ta02556d
1.09,21.3,0.79,18.34,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.05,0.36,1,0,0.000226,2.93E-05,-4.05,-5.63,-4.1,-5.27,10.1039/c7ta02556d
1.08,22.26,0.742,17.85,0,1,0,1,0,3,0,1.53,-0.57,0.2,0,1,0.0002,8.00E-05,-3.93,-5.46,-4.5,-5.26,10.1002/aenm.201901268
1.02,22.43,0.798,18.26,0,1,0,1,0,3,0,1.53,-0.57,0.04,0,1,9.80E-05,8.00E-05,-3.93,-5.46,-4.5,-5.42,10.1002/aenm.201901268
1.04,22.56,0.817,19.16,0,1,0,1,0,3,0,1.53,-0.57,0.11,0,1,0.00021,8.00E-05,-3.93,-5.46,-4.5,-5.35,10.1002/aenm.201901268
1.05,22.543,0.77,18.22,0.05,0.1425,0.8075,1,0,2.55,0.45,1.64,-0.46,0.58,0,1,0.0002,8.00E-05,-4.04,-5.68,-4.5,-5.1,10.1039/c9ee00872a
1.31,8.77,0.62,7.11,0,1,0,1,0,0,3,2.26,-0.86,0.38,1,0,0.000465,2.93E-05,-3.34,-5.6,-4.2,-5.22,10.1039/c7cc02447a
1.16,22.02,0.71,18.06,0,0.15,0.85,1,0,2.55,0.45,1.59,0.09,0.65,1,0,0.000465,0.000992,-4.28,-5.87,-4.19,-5.22,10.1007/s40843-018-9305-6
1.14,21.74,0.773,18.6,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.2,0.38,1,0,0.000465,2.93E-05,-4,-5.6,-4.2,-5.22,10.1002/cssc.201702379
1.14,21.6,0.706,16.9,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.2,0.52,1,0,0.000112,2.93E-05,-4,-5.6,-4.2,-5.08,10.1002/cssc.201702379
1.1,24.2,0.805,21.6,0.05,0.03,0.92,1,0,2.91,0.09,1.5,-0.3,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1002/aenm.201902239
1.11,23.52,0.7668,20.02,0,0.15,0.85,1,0,2.55,0.45,1.59,-0.22,0.16,1,0,0.000465,2.93E-05,-3.93,-5.52,-4.15,-5.36,10.1021/acsami.9b11229
